%time,field0,field1,field2,field3,field4,field5,field6
207563000000,-0.41732745965165385,0.4530972486116971,-0.023513854316176364,-1.3188482014586596,0.48580308994590293,-1.5313277123422653,0.4810045165120149
207563000000,-0.4172995537130104,0.45307603016784714,-0.023554266077956854,-1.3187691468354252,0.4857470221491953,-1.5312631427050443,0.4809771677610444
207565000000,-0.41727175490155055,0.4530548961401726,-0.02359455458479509,-1.3186902208641902,0.4856910911057435,-1.5311987555991804,0.4809498459305219
207567000000,-0.41724406381044954,0.4530338458892258,-0.02363471742072143,-1.318611421016664,0.48563529837727604,-1.5311345477219813,0.4809225478380652
207569000000,-0.4172164817841102,0.4530128773772999,-0.023674747023724407,-1.3185327329562426,0.485579643805397,-1.5310705063846104,0.48089526031682706
207571000000,-0.4171890125422655,0.4529919872960475,-0.023714630207644305,-1.3184541310391316,0.48552412609254514,-1.5310066092855044,0.48086796187121994
207573000000,-0.41716165505895564,0.45297117921305574,-0.023754377338297772,-1.3183756507153976,0.48546875021383595,-1.530942884720516,0.48084067840321953
207575000000,-0.4171344067221652,0.45295045259414746,-0.02379399262581927,-1.318297296829531,0.48541351959651546,-1.530879334525582,0.48081341315210846
207577000000,-0.4171072652460417,0.4529298057034383,-0.023833476516609053,-1.318219061122294,0.4853584367152619,-1.5308159496114548,0.48078615968038196
207579000000,-0.41708023277933126,0.4529092353372137,-0.02387281925576623,-1.3181409188185018,0.4853035013286826,-1.53075270770782,0.4807588985484914
207581000000,-0.4170533082278265,0.4528887450492549,-0.023912031232161013,-1.3180629042440497,0.48524871834208927,-1.530689636171056,0.4807316550950178
207583000000,-0.41702648991510305,0.45286833295746565,-0.02395111113384374,-1.3179850090666676,0.4851940892876412,-1.5306267263901114,0.4807044218129972
207585000000,-0.4169997795061047,0.4528479960544134,-0.0239900506395756,-1.3179072118989863,0.4851396143501381,-1.5305639588012045,0.48067718175347185
207587000000,-0.41697317638247533,0.45282773784826436,-0.024028859191455254,-1.3178295464586824,0.485085298034007,-1.5305013604416216,0.4806499595567333
207589000000,-0.4169466793499277,0.4528075578148618,-0.024067538072335637,-1.3177520152589652,0.48503114262671776,-1.5304389318516458,0.48062275611061
207591000000,-0.4169202881785701,0.4527874555499496,-0.024106087210471472,-1.3176746191195647,0.4849771501996285,-1.530376672257642,0.4805955712455061
207593000000,-0.416894004125818,0.4527674304706979,-0.024144503069891243,-1.3175973544302124,0.48492332161087415,-1.5303145777777214,0.48056840095909426
207595000000,-0.416867828428666,0.4527474820031072,-0.024182782013097537,-1.3175202172429756,0.4848696576792628,-1.5302526442993054,0.48054124100093265
207597000000,-0.4168417619703302,0.45272760955192926,-0.024220921149908037,-1.3174432039203428,0.48481615945217715,-1.5301908677984848,0.4805140875942824
207599000000,-0.4168158048540862,0.45270781253674297,-0.02425891919360268,-1.3173663117152632,0.4847628284928893,-1.5301292446828594,0.4804869380933896
207601000000,-0.41678995651767803,0.45268809041213753,-0.024296776171256695,-1.317289538649165,0.4847096667939086,-1.530067771777193,0.48045979078244105
207603000000,-0.41676421599547364,0.45266844264333894,-0.0243344930268119,-1.3172128834046068,0.4846566766280551,-1.5300064462737621,0.48043264470325386
207605000000,-0.4167385821297298,0.4526488688376782,-0.024372071225469583,-1.3171363453169898,0.4846038599045768,-1.5299452662157957,0.4804054995272091
207607000000,-0.41671305408853154,0.45262936860906056,-0.02440951184149398,-1.3170599239062355,0.4845512184340217,-1.52988422983654,0.48037835499474557
207609000000,-0.41668763110074636,0.4526099414259397,-0.024446815501018904,-1.3169836189181536,0.4844987542896897,-1.5298233353552888,0.4803512105384433
207611000000,-0.4166623128099447,0.45259058675437114,-0.024483982077732946,-1.3169074302155943,0.4844464692802868,-1.5297625812511777,0.4803240653697527
207613000000,-0.41663709912905755,0.45257130404734536,-0.024521010953085565,-1.31683135781764,0.4843943650212461,-1.5297019662418538,0.48029691857785917
207615000000,-0.41661199013168293,0.45255209274350516,-0.02455790118145096,-1.3167554017788428,0.48434244298976825,-1.52964148915175,0.4802697691261981
207617000000,-0.4165869859200493,0.4525329523114854,-0.0245946518266571,-1.3166795621565228,0.48429070464344104,-1.5295811488212046,0.480242616027339
207619000000,-0.4165620864903028,0.45251388222924493,-0.024631262146462163,-1.3166038390012753,0.4842391514804527,-1.5295209440619777,0.4802154583756346
207621000000,-0.41653729168771925,0.4524948819704617,-0.024667731755576128,-1.3165282323674488,0.4841877850997429,-1.5294608736005593,0.48018829544257624
207623000000,-0.41651260118645705,0.45247595102526983,-0.02470406058864505,-1.3164527422626442,0.4841366071857509,-1.5294009360767742,0.4801611266178023
207625000000,-0.41648801455418294,0.45245708889685066,-0.0247402488209989,-1.3163773686533702,0.48408561948558404,-1.5293411300515132,0.4801339513935394
207627000000,-0.4164635312211793,0.45243829125060575,-0.024776287420060328,-1.3163020782290626,0.48403482098287487,-1.5292814261971008,0.48010674396339414
207629000000,-0.41643915353390604,0.452419560462773,-0.024812180298617648,-1.3162268930388956,0.48398421505186473,-1.5292218414875745,0.4800795212333737
207631000000,-0.4164148774350753,0.4524008969211719,-0.024847934177792297,-1.3161518245226622,0.4839338046004231,-1.5291623842376865,0.4800522907547178
207633000000,-0.4163907014563595,0.4523823005992176,-0.024883553685720372,-1.316076880608537,0.4838835929386045,-1.52910305878435,0.48002505892164127
207635000000,-0.41636662427901605,0.4523637710767554,-0.024919040765135847,-1.3160020638997842,0.4838335821724771,-1.5290438657543364,0.4799978272298011
207637000000,-0.4163426454988457,0.45234530817007457,-0.024954395904169147,-1.3159273740622108,0.4837837732270325,-1.528984804109168,0.47997059544018494
207639000000,-0.416318765688251,0.45232691141354575,-0.024989617395114294,-1.3158528103435927,0.4837341670832087,-1.5289258722550443,0.4799433620000384
207641000000,-0.41629498786319896,0.45230857999829954,-0.025024698061091755,-1.3157783691089424,0.483684763632529,-1.528867066658493,0.479916121328821
207643000000,-0.41627131357290637,0.45229031340024495,-0.02505963385261012,-1.315704047839426,0.4836355629802034,-1.5288083847742175,0.4798888698653494
207645000000,-0.41624774399135145,0.452272107360824,-0.025094412438734892,-1.3156298115795222,0.4835865628065763,-1.5287497966524324,0.4798615797962631
207647000000,-0.41622428180723947,0.4522539641650587,-0.025129036586271525,-1.315555680381988,0.4835377659036526,-1.5286913179004031,0.479834266388818
207649000000,-0.4162009222791587,0.45223588049287766,-0.025163505192519864,-1.315481631989294,0.483489172757225,-1.5286329283408495,0.47980691251928764
207651000000,-0.41617766506473064,0.45221785540490256,-0.02519782028312889,-1.315407662873037,0.4834407863819523,-1.5285746220881924,0.479779517768427
207653000000,-0.41615450628150263,0.45219989214547507,-0.025231996928251732,-1.3153338082278552,0.48339261260717326,-1.5285164265518132,0.4797521095565278
207655000000,-0.4161314399820446,0.45218199159576766,-0.025266048056197477,-1.3152600869681992,0.48334465641957625,-1.5284583550604456,0.4797247029129865
207657000000,-0.41610846435323534,0.452164153751931,-0.025299978648853028,-1.3151865077951648,0.48329692086670395,-1.5284004128031992,0.47969730460537807
207659000000,-0.41608558006831053,0.4521463745325951,-0.025333777825853332,-1.3151130387820684,0.48324940387256365,-1.528342572283469,0.47966988912928965
207661000000,-0.4160627933621237,0.45212865612337705,-0.02536744104757105,-1.315039697101449,0.48320210560306,-1.5282848482718112,0.47964246716191195
207663000000,-0.4160401054096079,0.4521109987772549,-0.025400964131309323,-1.3149664876168794,0.4831550249939136,-1.5282272458951685,0.47961503835206454
207665000000,-0.4160175191848623,0.45209340234053474,-0.02543434221002272,-1.314893411819602,0.48310816181735117,-1.5281697661636136,0.47958760178091797
207667000000,-0.41599503587193976,0.4520758663461928,-0.02546757170560099,-1.3148204669168848,0.48306151601658964,-1.5281124064206066,0.4795601538961334
207669000000,-0.415972655661518,0.4520583903536801,-0.025500651280220055,-1.3147476488385799,0.4830150884432607,-1.5280551622969618,0.4795326916581475
207671000000,-0.4159503777119147,0.45204097388935427,-0.025533581390238425,-1.3146749531688968,0.48296888050881837,-1.5279980287723998,0.4795052124993022
207673000000,-0.41592820038680767,0.45202361650570655,-0.025566364146976994,-1.3146023760332533,0.48292289418310563,-1.5279410009379983,0.4794777148516056
207675000000,-0.4159061222363647,0.45200631802411007,-0.02559900179628194,-1.3145299156336616,0.48287713079573624,-1.5278840762429562,0.4794501984426942
