Time,dt,quatx,quaty,quatz,quatw,posx,posy,posz,eulerx,eulery,eulerz,w_x,w_y,w_z,force_x,force_y,force_z,torque_x,torque_y,torque_z,quatwTarget,quatxTarget,quatyTarget,quatzTarget,posxTarget,posyTarget,poszTarget
11.380092196,0.0001533709999996,0.5387276126559662,0.4927452087042956,0.5022856735056329,0.4633398545905109,0.4670772103873965,-0.014678670954943573,0.7079401774253683,3.077634686415637,1.5045620220395517,-1.4218379565320745,48.164755331647726,-53.90671186552676,-68.9789812662811,21.634830799594155,13.278760871505972,-18.58106396596039,1.6038975516230851,-1.1472657711902443,0.2425248816501322,-,-,-,-,-,-,-
11.380245567,0.0097131850000007,0.5399118896146026,0.49555950276187016,0.4956756905084836,0.46607031713480224,0.46637588723580814,-0.008497073245287812,0.7129087908115224,2.9811853257321865,1.495592791533657,-1.3363620220663497,48.104765288658704,-53.87876402610506,-68.92133656339672,22.79248212398538,11.592799745717072,-18.1581571370601,1.561213519837711,-1.4119533467087084,0.2722847714156967,-,-,-,-,-,-,-
11.389958752,0.009983,0.5331081795626625,0.4980906962214339,0.49495554762393207,0.47193255142798163,0.4676396360902068,-0.0022050281288631393,0.7173301441516714,2.9862428512181007,1.5053649050780356,-1.3573668072609257,-0.5198631065917987,0.1601769339876079,-1.429561894753413,24.347691068529763,9.981946439585252,-20.660189516906588,1.40294164697931,-1.7069061753832109,0.21798053426511,-,-,-,-,-,-,-
11.399941752,0.0100231480000001,0.5298171827781343,0.501305394708422,0.49238663362087454,0.47491268365961425,0.4677541813163039,0.002533421921490865,0.7222302867021398,2.9933497324740004,1.5060143084103552,-1.3765394742523187,0.3420210138529501,-0.24491162905531536,-0.8193955883853942,26.728947011721992,9.76642455545539,-23.5326350982864,1.1374248277727996,-1.8000183128944884,0.1837985058611402,-,-,-,-,-,-,-
11.4099649,0.010008277999999,0.5318546301699805,0.5029508529899384,0.48804550351530884,0.47537635442030063,0.4671753010062453,0.0062371949431888635,0.7272838814105825,2.93877040686689,1.497573514664138,-1.3263702757597242,-0.11384045167518018,-0.032305317598496974,-0.8139282928119592,30.171905332731928,9.499985617673598,-26.9942972202432,0.811991945671801,-1.741970701758346,0.0939398392696193,-,-,-,-,-,-,-
11.419973178,0.0001884260000011,0.5253351754499949,0.5049204028154389,0.48889535211874574,0.47964536371396893,0.4683701170889613,0.010216758656262483,0.7319358451213674,2.977459445945378,1.5080694058100494,-1.3769826725909053,42.50821237761873,-32.698685111822016,-32.51969765533829,33.606221323263824,7.978931750225632,-29.08303363435509,0.5466918155996667,-1.589886476104618,0.0307816853020799,-,-,-,-,-,-,-
11.420161604,0.0097967959999998,0.527243409838002,0.5070397405682737,0.4836799744731921,0.4806025078591108,0.4676542578546282,0.012717888760327313,0.7369226975288228,2.9132967159718177,1.4987154727271226,-1.3192035981933805,42.50110947625548,-32.69213969701555,-32.51656470686098,36.08348368417485,5.550154832957735,-29.670623116771864,0.403934490757443,-1.3970410187105586,0.0429306990531991,-,-,-,-,-,-,-
11.4299584,0.009915222,0.5217055163141676,0.5107020265367754,0.48105833043576623,0.4853758101275253,0.468767229309487,0.015742586064099288,0.7414781315173941,2.9167527551854886,1.503054341744221,-1.3392665687528877,-0.28980311372750867,0.04290001914124679,-1.3756593156815524,37.44154566816944,2.283381765554936,-29.625682951307496,0.3398829774571729,-1.2284563462579043,0.0983863778178473,-,-,-,-,-,-,-
11.439873622,0.010088185999999,0.5187734931306139,0.5129389589239274,0.47879430207553747,0.48838888556466686,0.468627672484326,0.017316625523327914,0.7460703266706304,2.905015268333691,1.5044359512012548,-1.3379810637556147,-0.09798886709318406,-0.03294317615890552,-0.8982245143507401,38.41599633137958,-1.026441069657253,-30.035438939359743,0.2902877098737622,-1.0629666124887356,0.1793531681695184,-,-,-,-,-,-,-
11.449961808,0.0099500920000004,0.5167975151364151,0.5147277637381156,0.47701498213858573,0.4903390300611508,0.4690122342018363,0.019078121590375034,0.7502829296436148,2.9005250633678514,1.504792524730819,-1.3409892240423102,-0.05458819992443301,0.020515791577306555,-0.7863516606462218,39.1911017448152,-3.1312034053199707,-30.242865280433247,0.1820634873760634,-0.8906198034265345,0.2623815522993613,-,-,-,-,-,-,-
