quat_x, quat_y, quat_z, quat_w, pos_x, pos_y, pos_z
1.0, 0.0, 0.0, 0.0, 0.5, -0.4, 0.4
1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.4
0.71, 0.71, 0.0, 0.0, 0.5, 0.4, 0.4
