# quat_x, quat_y, quat_z, quat_w, pos_x, pos_y, pos_z, dt
4.349661e-01,5.574984e-01,-5.574984e-01,4.349661e-01,4.000000e-01,-4.000000e-01,2.469220e-01,2.000000e-02
4.335075e-01,5.586333e-01,-5.586333e-01,4.335075e-01,4.000000e-01,-4.000000e-01,2.479200e-01,2.000000e-02
4.320460e-01,5.597645e-01,-5.597645e-01,4.320460e-01,4.000000e-01,-4.000000e-01,2.489180e-01,2.000000e-02
4.305815e-01,5.608918e-01,-5.608918e-01,4.305815e-01,4.000000e-01,-4.000000e-01,2.499170e-01,2.000000e-02
4.291141e-01,5.620152e-01,-5.620152e-01,4.291141e-01,4.000000e-01,-4.000000e-01,2.509150e-01,2.000000e-02
4.276437e-01,5.631349e-01,-5.631349e-01,4.276437e-01,4.000000e-01,-4.000000e-01,2.519130e-01,2.000000e-02
4.261704e-01,5.642506e-01,-5.642506e-01,4.261704e-01,4.000000e-01,-4.000000e-01,2.529120e-01,2.000000e-02
4.246942e-01,5.653626e-01,-5.653626e-01,4.246942e-01,4.000000e-01,-4.000000e-01,2.539100e-01,2.000000e-02
4.232151e-01,5.664706e-01,-5.664706e-01,4.232151e-01,4.000000e-01,-4.000000e-01,2.549080e-01,2.000000e-02
4.217331e-01,5.675748e-01,-5.675748e-01,4.217331e-01,4.000000e-01,-4.000000e-01,2.559070e-01,2.000000e-02
4.202482e-01,5.686751e-01,-5.686751e-01,4.202482e-01,4.000000e-01,-4.000000e-01,2.569050e-01,2.000000e-02
4.187605e-01,5.697716e-01,-5.697716e-01,4.187605e-01,4.000000e-01,-4.000000e-01,2.579030e-01,2.000000e-02
4.172699e-01,5.708641e-01,-5.708641e-01,4.172699e-01,4.000000e-01,-4.000000e-01,2.589020e-01,2.000000e-02
4.157764e-01,5.719528e-01,-5.719528e-01,4.157764e-01,4.000000e-01,-4.000000e-01,2.599000e-01,2.000000e-02
4.142801e-01,5.730375e-01,-5.730375e-01,4.142801e-01,4.000000e-01,-4.000000e-01,2.608990e-01,2.000000e-02
4.127810e-01,5.741183e-01,-5.741183e-01,4.127810e-01,4.000000e-01,-4.000000e-01,2.618970e-01,2.000000e-02
4.112791e-01,5.751952e-01,-5.751952e-01,4.112791e-01,4.000000e-01,-4.000000e-01,2.628950e-01,2.000000e-02
4.097743e-01,5.762682e-01,-5.762682e-01,4.097743e-01,4.000000e-01,-4.000000e-01,2.638940e-01,2.000000e-02
4.082668e-01,5.773372e-01,-5.773372e-01,4.082668e-01,4.000000e-01,-4.000000e-01,2.648920e-01,2.000000e-02
4.067564e-01,5.784023e-01,-5.784023e-01,4.067564e-01,4.000000e-01,-4.000000e-01,2.658900e-01,2.000000e-02
4.052433e-01,5.794634e-01,-5.794634e-01,4.052433e-01,4.000000e-01,-4.000000e-01,2.668890e-01,2.000000e-02
4.037274e-01,5.805206e-01,-5.805206e-01,4.037274e-01,4.000000e-01,-4.000000e-01,2.678870e-01,2.000000e-02
